id,customer_id,order_date,sku_id,price,qty_ordered,before_discount,discount_amount,after_discount,is_gross,is_valid,is_net,payment_id,payment_method,registered_date,sku_name,cogs,category
ODR9939707760w,C713589L,2021-11-19,P858068,26100,200,5220000,2610000,2610000,1,1,0,5,Jazz Wallet,2021-07-07,RB Dettol Germ Busting Kit bf,18270,Others
ODR7448356649d,C551551L,2021-11-19,P886455,1971942,5,9859710,2464927,7394782,1,0,0,5,Jazz Wallet,2021-11-20,PS4 Slim 500GB,1321182,Entertainment
ODR4011281866z,C685596L,2021-11-25,P678648,7482000,1,7482000,2065344,5416655,1,0,0,4,Pay axis,2021-11-19,Changhong Ruba 55 Inches UD55D6000i Ultra HD TV clear CS,5162580,Entertainment
ODR3378927994s,C830683L,2021-11-22,P540013,3593680,1,3593680,1455440,2138239,1,1,1,5,Jazz Wallet,2021-11-03,dawlance Inverter 30,3054628,Appliances
ODR4904430099k,C191766L,2021-11-21,P491032,4413220,1,4413220,1059172,3354047,1,1,1,4,Pay axis,2021-07-05,Dawlance Inverter 45 2.0 ton,3177472,Appliances
ODR7618778722h,C299859L,2021-11-20,P886455,1971942,2,3943884,985971,2957913,1,0,0,5,Jazz Wallet,2021-11-20,PS4 Slim 500GB,1321182,Entertainment
ODR7610732813d,C313534L,2022-12-01,P849301,2697000,1,2697000,809100,1887900,1,1,1,1,COD,2022-01-19,mitsubhisi 1.0 Ton   SRK 13CMK CS,2373360,Appliances
ODR4415476736l,C215074L,2022-12-01,P918122,2533672,1,2533672,760101,1773570,1,1,0,3,Customer Credit,2021-09-13,lenovo 80HR00AKUE,2063002,Computing
ODR6474755771h,C368335L,2021-11-22,P240605,2479790,1,2479790,743937,1735853,1,0,0,5,Jazz Wallet,2021-11-06,lenovo 80J2021CUE,2083012,Computing
ODR9699658949w,C246762L,2022-05-21,P168052,6487648,1,6487648,638000,5849648,1,0,0,7,Easy Pay,2022-05-08,iPhone7Plus Red 256GB,5125228,Mobiles & Tablets
ODR6859592351r,C822265L,2021-01-10,P910456,4092886,5,20464430,613932,19850497,1,0,0,4,Pay axis,2021-09-01,Apple iPhone 6 (64GB) Silver,3621346,Mobiles & Tablets
ODR2741972772y,C483469L,2021-11-21,P239399,3683000,1,3683000,552450,3130550,1,1,1,2,Jazz Voucher,2021-07-26,Honda BikeCD70 Black,3130550,Superstore
ODR5064165483d,C329053L,2021-11-23,P239399,3683000,1,3683000,552450,3130550,1,1,1,2,Jazz Voucher,2021-09-20,Honda BikeCD70 Black,3130550,Superstore
ODR8655835343e,C545190L,2021-11-24,P239399,3683000,1,3683000,552450,3130550,1,1,1,2,Jazz Voucher,2021-07-26,Honda BikeCD70 Black,3130550,Superstore
ODR6859592351r,C822265L,2021-01-10,P240605,2741370,4,10965480,548274,10417206,1,0,0,4,Pay axis,2021-09-01,lenovo 80J2021CUE,2083012,Computing
ODR6180629046t,C492850L,2021-09-29,P751549,4408000,2,8816000,440800,8375200,1,1,1,4,Pay axis,2021-07-09,samsungGALAXY S 7 EDGE 32GB LTE,3879040,Mobiles & Tablets
ODR8451284001a,C805381L,2022-05-22,P726605,3278450,1,3278450,406000,2872450,1,1,1,4,Pay axis,2022-04-13,Ifitness JW901,2901450,Health & Sports
ODR2537552109g,C890940L,2021-11-22,P713012,2610000,1,2610000,391500,2218500,1,0,0,4,Pay axis,2021-09-28,sony SLT A58K,2140200,Entertainment
ODR1965502162e,C848774L,2022-05-20,P168052,6487648,1,6487648,364812,6122835,1,0,0,2,Jazz Voucher,2021-11-07,iPhone7Plus Red 256GB,5125228,Mobiles & Tablets
ODR8450052777q,C693415L,2022-04-15,P132718,5626000,1,5626000,348000,5278000,1,0,0,7,Easy Pay,2022-04-12,Samsung Galaxy S8 Plus Gray,4219500,Mobiles & Tablets
ODR2268957100j,C813380L,2022-04-16,P619324,5626000,1,5626000,348000,5278000,1,1,1,7,Easy Pay,2022-04-05,Samsung Galaxy S8 Plus Black,4782100,Mobiles & Tablets
